iter	Passed	Remaining
213	1229	4516
214	1233	4504
215	1240	4501
216	1243	4486
217	1246	4473
218	1250	4460
219	1256	4454
220	1260	4442
221	1263	4428
222	1268	4418
223	1272	4409
224	1277	4400
225	1281	4388
226	1288	4387
227	1292	4375
228	1296	4363
229	1300	4355
230	1305	4345
231	1309	4333
232	1312	4321
233	1318	4316
234	1323	4309
235	1328	4299
236	1334	4295
237	1337	4283
238	1341	4270
239	1344	4259
240	1351	4255
241	1354	4244
242	1358	4231
243	1362	4220
244	1367	4213
245	1370	4201
246	1374	4190
247	1381	4189
248	1386	4181
249	1390	4171
250	1397	4168
251	1400	4157
252	1404	4147
253	1408	4136
254	1414	4131
255	1417	4120
256	1421	4109
257	1425	4098
258	1430	4094
259	1434	4083
260	1438	4072
261	1443	4066
262	1447	4056
263	1450	4044
264	1454	4034
265	1459	4027
266	1464	4019
267	1471	4018
268	1485	4036
269	1498	4050
270	1512	4068
271	1527	4087
272	1532	4081
273	1539	4080
274	1544	4072
275	1550	4067
276	1558	4068
277	1563	4061
278	1574	4069
279	1582	4069
280	1607	4113
281	1613	4108
282	1622	4110
283	1626	4101
284	1630	4091
285	1639	4092
286	1646	4090
287	1660	4104
288	1669	4107
289	1676	4103
290	1680	4093
291	1686	4090
292	1692	4084
293	1698	4077
294	1707	4080
295	1711	4071
296	1719	4069
297	1728	4070
298	1737	4074
299	1741	4064
300	1745	4054
301	1752	4049
302	1756	4041
303	1761	4031
304	1769	4031
305	1772	4020
306	1782	4023
307	1786	4013
308	1790	4004
309	1801	4008
310	1807	4005
311	1813	3999
312	1819	3994
313	1823	3983
314	1827	3973
315	1831	3964
316	1834	3952
317	1837	3941
318	1843	3935
319	1848	3927
320	1851	3916
321	1855	3906
322	1862	3902
323	1865	3892
324	1869	3882
325	1874	3875
326	1878	3866
327	1882	3857
328	1886	3847
329	1891	3840
330	1895	3831
331	1899	3822
332	1903	3812
333	1910	3809
334	1914	3800
335	1918	3792
336	1926	3789
337	1930	3781
338	1936	3775
339	1945	3777
340	1949	3768
341	1953	3758
342	1961	3757
343	1965	3747
344	1969	3738
345	1975	3734
346	1979	3724
347	1983	3715
348	1989	3710
349	1992	3700
350	1996	3691
351	1999	3681
352	2006	3678
353	2011	3670
354	2015	3661
355	2021	3657
356	2027	3651
357	2031	3642
358	2040	3642
359	2044	3634
360	2048	3625
361	2056	3624
362	2060	3616
363	2067	3612
364	2072	3605
365	2075	3595
366	2079	3587
367	2086	3584
368	2092	3578
369	2101	3577
370	2108	3574
371	2112	3566
372	2119	3562
373	2123	3553
374	2126	3544
375	2131	3537
376	2135	3528
377	2139	3519
378	2142	3511
379	2147	3504
380	2151	3495
381	2155	3486
382	2159	3478
383	2163	3471
384	2168	3463
385	2171	3454
386	2175	3445
387	2180	3439
388	2183	3430
389	2187	3421
390	2191	3412
391	2196	3407
392	2201	3401
393	2206	3393
394	2210	3385
395	2214	3378
396	2220	3371
397	2223	3363
398	2229	3358
399	2233	3350
400	2237	3341
401	2240	3333
402	2245	3327
403	2250	3319
404	2253	3311
405	2258	3304
406	2262	3296
407	2265	3287
408	2269	3279
409	2274	3273
410	2278	3264
411	2281	3256
412	2285	3248
413	2290	3242
414	2294	3234
415	2297	3225
416	2301	3217
417	2306	3211
418	2310	3203
